2.64035,1.04243
2.70587,1.00644
2.6674,0.931775
2.52643,0.821304
2.28837,0.679271
1.96237,0.511133
1.56096,0.323354
1.09956,0.123147

-0.0636492,0.552947
0.19016,-0.185174
0.436662,-0.916178
0.666383,-1.61197
0.870495,-2.24582
1.04115,-2.79337
1.1718,-3.23356
1.25742,-3.54949
1.29472,-3.72902
1.28225,-3.76524
1.22052,-3.65677
1.11188,-3.40777
0.960509,-3.02781
0.772228,-2.53149
0.55427,-1.93789
0.315013,-1.26982
0.0636492,-0.552947
-0.19016,0.185174
-0.436662,0.916178
-0.666383,1.61197
-0.870495,2.24582
-1.04115,2.79337
-1.1718,3.23356
-1.25742,3.54949
-1.29472,3.72902
-1.28225,3.76524
-1.22052,3.65677
-1.11188,3.40777
-0.960509,3.02781
-0.772228,2.53149
-0.55427,1.93789
-0.315013,1.26982

-1.69603,1.09167
-0.588968,0.373291
0.540728,-0.359433
1.64964,-1.07834
2.69517,-1.75582
3.63711,-2.36581
4.43929,-2.88489
5.07086,-3.2931
5.50757,-3.57477
5.73262,-3.71905
5.73737,-3.72042
5.52164,-3.57881
5.09371,-3.29967
4.47004,-2.89372
3.67458,-2.37657
2.73792,-1.7681
1.69603,-1.09167
0.588968,-0.373291
-0.540728,0.359433
-1.64964,1.07834
-2.69517,1.75582
-3.63711,2.36581
-4.43929,2.88489
-5.07086,3.2931
-5.50757,3.57477
-5.73262,3.71905
-5.73737,3.72042
-5.52164,3.57881
-5.09371,3.29967
-4.47004,2.89372
-3.67458,2.37657
-2.73792,1.7681

-2.61882,0.298598
-1.48089,0.386234
-0.286046,0.459026
0.919787,0.514179
2.09027,0.549572
3.18043,0.563845
4.14837,0.55645
4.95689,0.527671
5.57491,0.478613
5.9787,0.411163
6.15273,0.327912
6.09031,0.23206
5.79384,0.12729
5.27472,0.0176279
4.5529,-0.0927115
3.65611,-0.199488
2.61882,-0.298598
1.48089,-0.386234
0.286046,-0.459026
-0.919787,-0.514179
-2.09027,-0.549572
-3.18043,-0.563845
-4.14837,-0.55645
-4.95689,-0.527671
-5.57491,-0.478613
-5.9787,-0.411163
-6.15273,-0.327912
-6.09031,-0.23206
-5.79384,-0.12729
-5.27472,-0.0176279
-4.5529,0.0927115
-3.65611,0.199488

-0.590847,-2.02823
-0.622277,-0.883276
-0.629793,0.295617
-0.613107,1.46315
-0.572859,2.57445
-0.510596,3.58682
-0.428712,4.46135
-0.330352,5.16444
-0.219298,5.66905
-0.0998153,5.95581
0.0235029,6.01369
0.145918,5.84047
0.262725,5.4428
