4
16

0, 0.107711, 0.307439, 0.494343, 0.585097
0.998582, 0.986725, 0.933157, 0.840672, 0.777415
0.77751, 0.705196, 0.546428, 0.364902, 0.262454
0.262495, 0.157045, -0.0468866, -0.24883, -0.351724

-0.227325, -0.121113, 0.0830994, 0.283807, 0.385477
0.385525, 0.482557, 0.650469, 0.79119, 0.852468
0.852637, 0.903811, 0.971903, 0.999447, 0.997119
0.997373, 0.983364, 0.925881, 0.82984, 0.764768
0.76502, 0.691135, 0.529806, 0.346493, 0.243273
0.24343, 0.137606, -0.0665746, -0.267854, -0.3702
-0.370195, -0.467948, -0.637786, -0.780933, -0.843711
-0.843858, -0.896583, -0.967867, -0.998761, -0.998239
-0.99848, -0.986242, -0.932024, -0.838984, -0.775361
-0.775602, -0.703028, -0.543807, -0.36201, -0.259343
-0.259492, -0.154016, 0.050008, 0.251832, 0.354724
0.354715, 0.453226, 0.624916, 0.770463, 0.834683
0.834796, 0.889112, 0.96356, 0.997803, 0.999085
0.999245, 0.988841, 0.937911, 0.847901, 0.785784
0.785904, 0.714706, 0.557668, 0.377429, 0.275423
0.275465, 0.170355, -0.0334108, -0.235742, -0.33907

-0.240406, -0.13449, 0.0696504, 0.270843, 0.372969
0.373112, 0.470714, 0.640158, 0.782865, 0.84527
0.84556, 0.897986, 0.968624, 0.99891, 0.997942
0.998293, 0.98576, 0.930873, 0.837294, 0.7733
0.773584, 0.700845, 0.541182, 0.359119, 0.256286
0.2564, 0.15096, -0.0531164, -0.254829, -0.357625
-0.357723, -0.455999, -0.627333, -0.772433, -0.836329
-0.8366, -0.890556, -0.964372, -0.998, -0.998841
-0.999179, -0.988416, -0.936808, -0.84625, -0.783721
-0.783997, -0.71258, -0.555062, -0.374555, -0.2723
-0.272412, -0.167336, 0.0365382, 0.238751, 0.342073
0.342148, 0.441172, 0.614324, 0.761792, 0.827128
0.82733, 0.882878, 0.959853, 0.99682, 0.999492
0.999706, 0.990781, 0.942492, 0.854977, 0.794006
0.794137, 0.724085, 0.568806, 0.389888, 0.288345
0.288379, 0.183632, -0.0199283, -0.222612, -0.326351

-0.253417, -0.147836, 0.0561859, 0.257829, 0.360366
0.36064, 0.458799, 0.629723, 0.774399, 0.837882
0.838308, 0.89201, 0.965162, 0.998192, 0.998561
0.998987, 0.987981, 0.935692, 0.844597, 0.781692
0.781958, 0.710424, 0.55246, 0.371681, 0.26928
0.269285, 0.164275, -0.039643, -0.241757, -0.344942
-0.345198, -0.443982, -0.616759, -0.763793, -0.828752
-0.82917, -0.88438, -0.960695, -0.99706, -0.999236
-0.999656, -0.990415, -0.941418, -0.853364, -0.791938
-0.792202, -0.722, -0.566216, -0.387033, -0.28523
-0.285251, -0.180616, 0.0230569, 0.225626, 0.329325
0.329524, 0.429049, 0.603615, 0.752983, 0.819392
0.819693, 0.876492, 0.955966, 0.995657, 0.999703
0.999958, 0.992543, 0.9469, 0.861899, 0.802085
0.802208, 0.733331, 0.579841, 0.402275, 0.301223
0.301238, 0.196874, -0.0064409, -0.209442, -0.313569

-0.266355, -0.161143, 0.0427066, 0.244767, 0.347662
0.348095, 0.446816, 0.619166, 0.765793, 0.830308
0.83086, 0.885881, 0.961517, 0.997296, 0.998988
0.999437, 0.990022, 0.94034, 0.851749, 0.789965
0.790131, 0.719862, 0.563643, 0.384178, 0.282275
0.282091, 0.17754, -0.0261526, -0.228641, -0.332137
-0.332601, -0.431904, -0.606061, -0.755017, -0.82098
-0.821545, -0.878055, -0.956834, -0.99594, -0.999435
-0.999888, -0.992235, -0.945854, -0.860325, -0.800031
-0.80021, -0.731278, -0.577272, -0.399442, -0.298152
-0.298014, -0.193847, 0.00956297, 0.21246, 0.316468
0.316827, 0.416864, 0.592786, 0.744039, 0.811474
0.811871, 0.869954, 0.9519, 0.994315, 0.999725
0.999993, 0.994124, 0.951134, 0.868665, 0.810031
0.810117, 0.74244, 0.590773, 0.414589, 0.314061
0.314045, 0.210078, 0.00704951, -0.196235, -0.300725

-0.279219, -0.174405, 0.0292133, 0.23166, 0.33486
0.335458, 0.434768, 0.608487, 0.75705, 0.822558
0.82319, 0.879597, 0.957693, 0.996222, 0.999247
0.999623, 0.991873, 0.94482, 0.858749, 0.79815
0.798102, 0.729146, 0.574734, 0.396605, 0.295297
0.294834, 0.190747, -0.0126429, -0.215485, -0.3192
-0.319904, -0.419767, -0.595241, -0.746106, -0.813018
-0.813697, -0.871577, -0.952794, -0.994644, -0.999457
-0.99986, -0.993866, -0.950122, -0.867132, -0.808026
-0.80802, -0.740403, -0.588232, -0.41178, -0.311087
-0.310717, -0.20702, -0.00394502, 0.199258, 0.303496
0.304037, 0.404617, 0.581841, 0.734962, 0.803382
